route,start_stop_code_lbsl,end_stop_code_lbsl
353,20133,18947
353,18947,20132
353,20132,18945
353,18945,18943
353,18943,R0600
353,R0600,R0599
353,R0599,R0602
353,R0602,R0605
353,R0605,17799
353,17799,17797
353,17797,R0891
353,R0891,18369
353,18369,17812
353,17812,17711
353,17711,9470
353,9470,R0501
353,R0501,17712
353,17712,17714
353,17714,17815
353,17815,BP2205
353,BP2205,BP2331
444,34017,1135
444,1135,15985
444,15985,4208
444,4208,R0021
444,R0021,15989
444,15989,15991
444,15991,15994
444,15994,14700
444,14700,15996
444,15996,BP998
444,BP998,4292
444,4292,15998
444,15998,16000
444,16000,16002
444,16002,16004
444,16004,16006
444,16006,16608
444,16608,16012
444,16012,25160
444,25160,1696
444,1696,1698
444,1698,BP3527
444,BP3527,BP3526
444,BP3526,BP3525
444,BP3525,BP3524
444,BP3524,BP3523
444,BP3523,10834
444,10834,10836
444,10836,3505
444,3505,15840
444,15840,29427
444,29427,15838
444,15838,15837
444,15837,15835
444,15835,1665
444,1665,BP2831
697,17233,17232
697,17232,17230
697,17230,17227
697,17227,17225
697,17225,BP4475
697,BP4475,17223
697,17223,17221
697,17221,16150
697,16150,BP2412
697,BP2412,14864
697,14864,16152
697,16152,10462
697,10462,6817
697,6817,29270
697,29270,27578
697,27578,3115
697,3115,37200
697,37200,3119
697,3119,3123
697,3123,3125
697,3125,3127
697,3127,3131
697,3131,3134
697,3134,3136
697,3136,14859
697,14859,14860
697,14860,16306
697,16306,CW12
697,CW12,16300
697,16300,BP435
697,BP435,16296
697,16296,16294
697,16294,BP2675
697,BP2675,14861
308,34050,15555
308,15555,2998
308,2998,9319
308,9319,9317
308,9317,9313
308,9313,3300
308,3300,34096
308,34096,8060
308,8060,26187
308,26187,35551
308,35551,LE139
308,LE139,8070
308,8070,29829
308,29829,29825
308,29825,BP944
308,BP944,BP523
308,BP523,BP521
308,BP521,8019
308,8019,BP973
308,BP973,34729
308,34729,34731
308,34731,34733
308,34733,7998
308,7998,7996
308,7996,7992
308,7992,BP4373
308,BP4373,17988
308,17988,17986
308,17986,BP3076
308,BP3076,34395
308,34395,29456
308,29456,29453
308,29453,10260
308,10260,BP3801
308,BP3801,BP1819
308,BP1819,BP4460
308,BP4460,34475
271,27475,2463
271,2463,29071
271,29071,33436
271,33436,2455
271,2455,862
271,862,25130
271,25130,34331
271,34331,14593
271,14593,14599
271,14599,14601
271,14601,14605
271,14605,14609
271,14609,29772
271,29772,10005
271,10005,1084
271,1084,10011
271,10011,796
271,796,314
271,314,9850
271,9850,9852
271,9852,11328
271,11328,9858
271,9858,BP2307
271,BP2307,33981
271,33981,14613
271,14613,14615
271,14615,14619
271,14619,BP1382
169,35457,34769
169,34769,33404
169,33404,35403
169,35403,33415
169,33415,33401
169,33401,33399
169,33399,33397
169,33397,20198
169,20198,9613
169,9613,29018
169,29018,9609
169,9609,9605
169,9605,9603
169,9603,9599
169,9599,9597
169,9597,9595
169,9595,9591
169,9591,9589
169,9589,9585
169,9585,9583
169,9583,9581
169,9581,9577
169,9577,9575
169,9575,FC41
169,FC41,BP3460
169,BP3460,FC44
169,FC44,9560
169,9560,9556
169,9556,9554
169,9554,9550
169,9550,9548
169,9548,9544
169,9544,LE172
169,LE172,BP428
118,W48,17561
118,17561,2850
118,2850,17564
118,17564,17567
118,17567,34695
118,34695,17570
118,17570,17572
118,17572,BP5365
118,BP5365,BP5331
118,BP5331,37388
118,37388,BP683
118,BP683,17575
118,17575,17576
118,17576,17578
118,17578,12672
118,12672,3819
118,3819,12671
118,12671,BP2131
118,BP2131,BP2132
118,BP2132,BP2133
118,BP2133,BP2123
118,BP2123,BP2124
118,BP2124,4425
118,4425,15602
118,15602,1833
118,1833,15100
118,15100,4868
118,4868,91240
118,91240,SL37
118,SL37,25857
118,25857,2403
118,2403,36915
118,36915,25856
118,25856,1764
118,1764,25666
118,25666,43
118,43,2397
118,2397,706
118,706,707
118,707,710
118,710,2395
118,2395,24458
118,24458,36214
656,BP3510,BP2184
656,BP2184,20073
656,20073,26792
656,26792,26793
656,26793,26795
656,26795,26797
656,26797,BP4432
656,BP4432,26799
656,26799,25616
656,25616,25626
656,25626,29114
656,29114,18506
656,18506,BP2379
656,BP2379,18503
656,18503,18501
656,18501,9239
656,9239,11119
656,11119,26179
656,26179,26181
656,26181,26183
656,26183,18260
656,18260,LE261
656,LE261,LE259
656,LE259,LE255
656,LE255,OC626
53,14756,R0470
53,R0470,1000
53,1000,26826
53,26826,4742
53,4742,26768
53,26768,29808
53,29808,26212
